URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Cipresso-di-Toscana-1686.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Fico-di-Amalfi-1687.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Ginepro-di-Sardegna-23851.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Mandorlo-di-Sicilia-1688.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Bergamotto-di-Calabria-7826.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-parma-Blue-Mediterraneo-Mirto-di-Panarea-3108.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Bergamotto-di-Calabria-La-Spugnatura-66175.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Blue-Mediterraneo-Mirto-di-Panarea-Limited-Edition-2024-95862.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-1682.html - Missing: notes_top, notes_middle, notes_base, price_value
URL: https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-Edizione-Riviera-1680.html - Missing: notes_top, notes_middle, notes_base, price_value
